Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179;286,1179""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""286,1179""",FLOAT,FORMAT_ND,2,87.990441,0.0,0.098089,0.012911,0.0,0.919961,0.706778
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179;286,1179""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""286,1179""",FLOAT16,FORMAT_ND,2,45.261765,0.0,0.094905,0.015888,0.0,0.913298,0.470921
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179;286,1179""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""286,1179""",INT32,FORMAT_ND,2,86.053676,0.0,0.097477,0.01315,0.0,0.961968,0.639418
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208;1479,526,208""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1479,526,208""",FLOAT,FORMAT_ND,2,40355.303676,0.0,0.100813,0.009665,0.0,0.958978,0.634131
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208;1479,526,208""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1479,526,208""",FLOAT16,FORMAT_ND,2,20305.455147,0.0,0.104276,0.002956,0.0,0.947727,0.575216
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208;1479,526,208""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""1479,526,208""",INT32,FORMAT_ND,2,40427.248529,0.0,0.102597,0.009648,0.0,0.958228,0.633392
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888;44,888""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""44,888""",FLOAT,FORMAT_ND,2,14.316912,0.0,0.068615,0.014689,0.0,0.725746,0.44538
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888;44,888""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""44,888""",FLOAT16,FORMAT_ND,2,7.95,0.0,0.042915,0.023492,0.0,0.629671,0.247318
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888;44,888""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""44,888""",INT32,FORMAT_ND,2,10.947794,0.0,0.048089,0.019209,0.0,0.767748,0.409631
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [434, 708], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [434, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [434, 708], ""is_host"": false}]",{},"""434,708;434,708""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""434,708""",FLOAT,FORMAT_ND,2,76.830147,0.0,0.104126,0.013848,0.0,0.963106,0.591526
