,Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
1,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [30, 823, 61, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [823], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [823], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [30, 823, 61, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [24690], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [24690], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""30,823,61,36;823;823""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""30,823,61,36;30,1,1,36;30,1,1,36""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1673513.513235,0.0,0.511208,0.128863,0.0,0.656798,0.120057
2,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 90, 67, 35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [90], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [90], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 90, 67, 35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19260], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19260], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""214,90,67,35;90;90""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""214,90,67,35;214,1,1,35;214,1,1,35""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1421918.979412,0.0,0.513569,0.127152,0.0,0.661936,0.11695
3,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [5, 203, 351, 170], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [203], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [203], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [5, 203, 351, 170], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1015], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1015], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""5,203,351,170;203;203""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""5,203,351,170;5,1,1,170;5,1,1,170""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,636530.664706,0.0,0.636365,0.128205,0.0,0.492557,0.120276
4,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19, 310, 46, 200], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [310], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [310], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19, 310, 46, 200], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5890, 1], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5890, 1], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""19,310,46,200;310;310""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""19,310,46,200;19,1,1,200;19,1,1,200""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,307481.660294,0.0,0.682719,0.123258,0.0,0.421953,0.129503
5,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [107, 267, 36, 56], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [267], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [267], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [107, 267, 36, 56], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [28569, 1], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [28569, 1], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""107,267,36,56;267;267""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""107,267,36,56;107,1,1,56;107,1,1,56""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,96691.702941,0.0,0.981005,0.127364,0.0,0.151399,0.097067
6,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [123], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [123], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""66,123,32,249;123;123""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""66,123,32,249;66,1,1,249;66,1,1,249""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,164565.151471,0.0,0.809715,0.068793,0.0,0.345529,0.151649
7,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""36,31,298,189;31;31""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""36,31,298,189;36,1,1,189;36,1,1,189""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,764456.448529,0.0,0.600789,0.160779,0.0,0.574494,0.131719
8,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [57], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [57], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""214,57,58,73;57;57""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""214,57,58,73;214,1,1,73;214,1,1,73""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1186496.207353,0.0,0.649856,0.122716,0.0,0.453435,0.0848
9,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [20], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""760,20,21,189;20;20""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""760,20,21,189;760,1,1,189;760,1,1,189""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,591724.719118,0.0,0.620866,0.134597,0.0,0.505975,0.124599
10,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [171], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [171], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""179,171,164,7;171;171""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""179,171,164,7;179,1,1,7;179,1,1,7""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,5189272.85,0.0,0.507607,0.139988,0.0,0.664294,0.11264
