Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [532], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""532""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,3.292647,0.0,0.101385,0.048236,0.0,0.315319,0.042876
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [532], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""532""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,1.201471,0.0,0.21175,0.130967,0.0,0.365973,0.090575
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [496, 489, 183], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""496,489,183""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,10405.866176,0.0,0.991039,0.019048,0.0,0.413531,1.1e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [496, 489, 183], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""496,489,183""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,4147.048529,0.0,0.987949,0.023395,0.0,0.521286,7.3e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [505, 932, 136], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""505,932,136""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,14827.229412,0.0,0.991318,0.021647,0.0,0.416487,2.1e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [505, 932, 136], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""505,932,136""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,5880.470588,0.0,0.988606,0.023767,0.0,0.524724,5.2e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [968, 287, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""968,287,208""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,17838.576471,0.0,0.722811,0.014463,0.0,0.312465,2.5e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [968, 287, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""968,287,208""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,5448.311765,0.0,0.988162,0.023018,0.0,0.524375,5.6e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1981, 1133], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""1981,1133""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,573.225,0.0,0.97873,0.030737,0.0,0.454585,0.000528
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1981, 1133], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""1981,1133""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,217.191176,0.0,0.969334,0.02357,0.0,0.506419,0.001402
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [32, 1650, 941], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""32,1650,941""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,11568.919118,0.0,0.990816,0.018469,0.0,0.417887,2.6e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 1650, 941], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""32,1650,941""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,4611.054412,0.0,0.986892,0.024014,0.0,0.521994,6.6e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1255], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""1255""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,2.805882,0.0,0.174004,0.057652,0.0,0.377883,0.108491
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1255], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""1255""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,2.002941,0.0,0.152717,0.079295,0.0,0.491189,0.156388
