Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [25, 1839, 219, 6], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [25, 460, 108, 6], ""is_host"": false}]","{""ksize"": [1, 3, 5, 1], ""strides"": [1, 4, 2, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""25,1,1839,219,16""",FLOAT16,NC1HWC0,"""25,1,460,108,16""",FLOAT16,NC1HWC0,2,6523.630882,0.0,0.640974,0.190779,0.0,0.993478,0.407071
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [23, 115, 468, 40], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [23, 115, 468, 40], ""is_host"": false}]","{""ksize"": [1, 2, 5, 1], ""strides"": [1, 1, 1, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""23,3,115,468,16""",FLOAT16,NC1HWC0,"""23,3,115,468,16""",FLOAT16,NC1HWC0,2,7644.636029,0.0,0.971145,0.152256,0.0,0.771927,0.524107
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [40, 1510, 83, 9], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [40, 302, 83, 9], ""is_host"": false}]","{""ksize"": [1, 3, 5, 1], ""strides"": [1, 5, 1, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""40,1,1510,83,16""",FLOAT16,NC1HWC0,"""40,1,302,83,16""",FLOAT16,NC1HWC0,2,4579.931618,0.0,0.971047,0.385735,0.0,0.822104,0.314662
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [61, 111, 370, 19], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [61, 28, 124, 19], ""is_host"": false}]","{""ksize"": [1, 1, 5, 1], ""strides"": [1, 4, 3, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""61,2,111,370,16""",FLOAT16,NC1HWC0,"""61,2,28,124,16""",FLOAT16,NC1HWC0,2,2365.633088,0.0,0.480726,0.142314,0.0,0.960128,0.337436
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [4, 922, 894, 16], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [4, 231, 224, 16], ""is_host"": false}]","{""ksize"": [1, 1, 1, 1], ""strides"": [1, 4, 4, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""4,1,922,894,16""",FLOAT16,NC1HWC0,"""4,1,231,224,16""",FLOAT16,NC1HWC0,2,687.143382,0.0,0.200172,0.02261,0.0,0.997048,0.744462
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [39, 106, 448, 34], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [39, 22, 444, 34], ""is_host"": false}]","{""ksize"": [1, 1, 5, 1], ""strides"": [1, 5, 1, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""39,3,106,448,16""",FLOAT16,NC1HWC0,"""39,3,22,444,16""",FLOAT16,NC1HWC0,2,1544.472059,0.0,0.882984,0.074783,0.0,0.963166,0.820578
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [4, 1128, 466, 27], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [4, 1128, 117, 27], ""is_host"": false}]","{""ksize"": [1, 2, 3, 1], ""strides"": [1, 1, 4, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""4,2,1128,466,16""",FLOAT16,NC1HWC0,"""4,2,1128,117,16""",FLOAT16,NC1HWC0,2,4418.438235,0.0,0.242086,0.076778,0.0,0.998655,0.376492
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 1144, 306, 22], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 286, 153, 22], ""is_host"": false}]","{""ksize"": [1, 1, 2, 1], ""strides"": [1, 4, 2, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""7,2,1144,306,16""",FLOAT16,NC1HWC0,"""7,2,286,153,16""",FLOAT16,NC1HWC0,2,2259.084559,0.0,0.174436,0.032696,0.0,0.99857,0.54577
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [35, 994, 413, 4], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [35, 991, 103, 4], ""is_host"": false}]","{""ksize"": [1, 4, 4, 1], ""strides"": [1, 1, 4, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""35,1,994,413,16""",FLOAT16,NC1HWC0,"""35,1,991,103,16""",FLOAT16,NC1HWC0,2,25425.236029,0.0,0.42013,0.033001,0.0,0.998673,0.311967
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [19, 201, 849, 14], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [19, 50, 846, 14], ""is_host"": false}]","{""ksize"": [1, 5, 4, 1], ""strides"": [1, 4, 1, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""19,1,201,849,16""",FLOAT16,NC1HWC0,"""19,1,50,846,16""",FLOAT16,NC1HWC0,2,4111.505147,0.0,0.725798,0.066854,0.0,0.427031,0.162302
