Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [50, 69, 21, 24, 25], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [50, 18, 6, 24, 25], ""is_host"": false}]","{""ksize"": [1, 6, 7, 2, 1], ""strides"": [1, 4, 4, 1, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""50,69,2,21,24,16""",FLOAT16,NDC1HWC0,"""50,18,2,6,24,16""",FLOAT16,NDC1HWC0,2,8268.255147,0.0,0.703428,0.204108,0.0,0.619483,0.132732
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [52, 13, 77, 61, 15], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [52, 5, 75, 57, 15], ""is_host"": false}]","{""ksize"": [1, 5, 3, 5, 1], ""strides"": [1, 2, 1, 1, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""52,13,1,77,61,16""",FLOAT16,NDC1HWC0,"""52,5,1,75,57,16""",FLOAT16,NDC1HWC0,2,33008.301471,0.0,0.705438,0.127275,0.0,0.38011,0.120581
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [37, 28, 95, 48, 11], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [37, 28, 95, 16, 11], ""is_host"": false}]","{""ksize"": [1, 2, 2, 6, 1], ""strides"": [1, 1, 1, 3, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""37,28,1,95,48,16""",FLOAT16,NDC1HWC0,"""37,28,1,95,16,16""",FLOAT16,NDC1HWC0,2,10830.4625,0.0,0.593908,0.070539,0.0,0.491326,0.20689
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [17, 93, 17, 27, 48], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [17, 47, 17, 14, 48], ""is_host"": false}]","{""ksize"": [1, 3, 2, 3, 1], ""strides"": [1, 2, 1, 2, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""17,93,3,17,27,16""",FLOAT16,NDC1HWC0,"""17,47,3,17,14,16""",FLOAT16,NDC1HWC0,2,4602.159559,0.0,0.436549,0.065854,0.0,0.724085,0.176894
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [72, 30, 71, 56, 4], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [72, 6, 71, 28, 4], ""is_host"": false}]","{""ksize"": [1, 7, 2, 3, 1], ""strides"": [1, 5, 1, 2, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""72,30,1,71,56,16""",FLOAT16,NDC1HWC0,"""72,6,1,71,28,16""",FLOAT16,NDC1HWC0,2,14975.522794,0.0,0.444733,0.074442,0.0,0.720108,0.144939
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [8, 72, 82, 49, 16], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [8, 72, 28, 49, 16], ""is_host"": false}]","{""ksize"": [1, 2, 5, 7, 1], ""strides"": [1, 1, 3, 1, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""8,72,1,82,49,16""",FLOAT16,NDC1HWC0,"""8,72,1,28,49,16""",FLOAT16,NDC1HWC0,2,25410.325735,0.0,0.725001,0.107226,0.0,0.381145,0.104682
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [93, 67, 48, 8, 28], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [93, 34, 12, 8, 28], ""is_host"": false}]","{""ksize"": [1, 4, 5, 2, 1], ""strides"": [1, 2, 4, 1, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""93,67,2,48,8,16""",FLOAT16,NDC1HWC0,"""93,34,2,12,8,16""",FLOAT16,NDC1HWC0,2,8912.563971,0.0,0.571993,0.080391,0.0,0.688221,0.168703
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [32, 57, 24, 40, 24], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [32, 51, 10, 18, 24], ""is_host"": false}]","{""ksize"": [1, 7, 5, 5, 1], ""strides"": [1, 1, 2, 2, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""32,57,2,24,40,16""",FLOAT16,NDC1HWC0,"""32,51,2,10,18,16""",FLOAT16,NDC1HWC0,2,56565.032353,0.0,0.537152,0.058124,0.0,0.496889,0.066292
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [14, 34, 85, 73, 18], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [14, 34, 85, 25, 18], ""is_host"": false}]","{""ksize"": [1, 3, 2, 4, 1], ""strides"": [1, 1, 1, 3, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""14,34,2,85,73,16""",FLOAT16,NDC1HWC0,"""14,34,2,85,25,16""",FLOAT16,NDC1HWC0,2,26396.928676,0.0,0.389647,0.064833,0.0,0.700866,0.165411
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [11, 81, 78, 29, 23], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [11, 27, 78, 29, 23], ""is_host"": false}]","{""ksize"": [1, 5, 4, 6, 1], ""strides"": [1, 3, 1, 1, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""11,81,2,78,29,16""",FLOAT16,NDC1HWC0,"""11,27,2,78,29,16""",FLOAT16,NDC1HWC0,2,80208.080147,0.0,0.6934,0.102128,0.0,0.377706,0.090697
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [39, 53, 15, 86, 19], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [39, 53, 3, 43, 19], ""is_host"": false}]","{""ksize"": [1, 6, 7, 7, 1], ""strides"": [1, 1, 5, 2, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""39,53,2,15,86,16""",FLOAT16,NDC1HWC0,"""39,53,2,3,43,16""",FLOAT16,NDC1HWC0,2,77838.490441,0.0,0.720769,0.056565,0.0,0.310419,0.050378
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [13, 93, 43, 22, 32], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [13, 31, 22, 22, 32], ""is_host"": false}]","{""ksize"": [1, 6, 3, 4, 1], ""strides"": [1, 3, 2, 1, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""13,93,2,43,22,16""",FLOAT16,NDC1HWC0,"""13,31,2,22,22,16""",FLOAT16,NDC1HWC0,2,14707.116176,0.0,0.700688,0.088571,0.0,0.397366,0.116985
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [41, 11, 53, 39, 39], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [41, 5, 26, 37, 39], ""is_host"": false}]","{""ksize"": [1, 3, 3, 3, 1], ""strides"": [1, 2, 2, 1, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""41,11,3,53,39,16""",FLOAT16,NDC1HWC0,"""41,5,3,26,37,16""",FLOAT16,NDC1HWC0,2,5698.0625,0.0,0.708777,0.13522,0.0,0.46956,0.176559
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [2, 100, 49, 76, 42], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [2, 100, 17, 19, 42], ""is_host"": false}]","{""ksize"": [1, 5, 4, 5, 1], ""strides"": [1, 1, 3, 4, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""2,100,3,49,76,16""",FLOAT16,NDC1HWC0,"""2,100,3,17,19,16""",FLOAT16,NDC1HWC0,2,13721.647794,0.0,0.548455,0.063639,0.0,0.512767,0.081118
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [12, 32, 35, 20, 46], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [12, 9, 6, 9, 46], ""is_host"": false}]","{""ksize"": [1, 7, 6, 3, 1], ""strides"": [1, 3, 5, 2, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""12,32,3,35,20,16""",FLOAT16,NDC1HWC0,"""12,9,3,6,9,16""",FLOAT16,NDC1HWC0,2,1430.674265,0.0,0.476583,0.079175,0.0,0.559694,0.069405
