Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [21, 330, 582, 9], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [21, 110, 117, 9], ""is_host"": false}]","{""ksize"": [1, 10, 8, 1], ""strides"": [1, 3, 5, 1], ""padding_mode"": ""CALCULATED"", ""pads"": [3, 4, 5, 1], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""21,1,330,582,16""",FLOAT16,NC1HWC0,"""21,1,110,117,16""",FLOAT16,NC1HWC0,2,10658.6875,0.0,0.487889,0.130003,0.0,0.489833,0.045729
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [95, 282, 591, 2], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [95, 1, 1, 2], ""is_host"": false}]","{""ksize"": [1, 282, 591, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""95,1,282,591,16""",FLOAT16,NC1HWC0,"""95,1,1,1,16""",FLOAT16,NC1HWC0,5,22912.902353,0.0,0.914912,0.691054,0.0,0.298084,0.00035
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [46, 302, 348, 10], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [46, 1, 1, 10], ""is_host"": false}]","{""ksize"": [1, 302, 348, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""46,1,302,348,16""",FLOAT16,NC1HWC0,"""46,1,1,1,16""",FLOAT16,NC1HWC0,2,6143.304412,0.0,0.915383,0.49393,0.0,0.621432,0.000441
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [84, 19, 1233, 8], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [84, 1, 1, 8], ""is_host"": false}]","{""ksize"": [1, 19, 1233, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""84,1,19,1233,16""",FLOAT16,NC1HWC0,"""84,1,1,1,16""",FLOAT16,NC1HWC0,2,2492.379412,0.0,0.905418,0.666386,0.0,0.348656,0.002677
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [25, 175, 343, 23], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [25, 44, 343, 23], ""is_host"": false}]","{""ksize"": [1, 9, 6, 1], ""strides"": [1, 4, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""25,2,175,343,16""",FLOAT16,NC1HWC0,"""25,2,44,343,16""",FLOAT16,NC1HWC0,2,9486.282353,0.0,0.79298,0.185524,0.0,0.304554,0.077044
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [12, 904, 1395, 3], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [12, 302, 280, 3], ""is_host"": false}]","{""ksize"": [1, 3, 10, 1], ""strides"": [1, 3, 5, 1], ""padding_mode"": ""CALCULATED"", ""pads"": [2, 0, 4, 5], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": true}","""12,1,904,1395,16""",FLOAT16,NC1HWC0,"""12,1,302,280,16""",FLOAT16,NC1HWC0,2,13173.481618,0.0,0.432714,0.011702,0.0,0.592683,0.131876
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [9, 1452, 338, 9], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [9, 1, 1, 9], ""is_host"": false}]","{""ksize"": [1, 1452, 338, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""9,1,1452,338,16""",FLOAT16,NC1HWC0,"""9,1,1,1,16""",FLOAT16,NC1HWC0,3,7058.992157,0.0,0.918216,0.694479,0.0,0.293017,0.000238
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [8, 1013, 468, 14], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [8, 1, 1, 14], ""is_host"": false}]","{""ksize"": [1, 1013, 468, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""8,1,1013,468,16""",FLOAT16,NC1HWC0,"""8,1,1,1,16""",FLOAT16,NC1HWC0,2,5169.340441,0.0,0.915867,0.634056,0.0,0.477289,0.000211
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [13, 569, 1988, 3], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [13, 1, 1, 3], ""is_host"": false}]","{""ksize"": [1, 569, 1988, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""13,1,569,1988,16""",FLOAT16,NC1HWC0,"""13,1,1,1,16""",FLOAT16,NC1HWC0,13,19288.142873,0.0,0.919269,0.686142,0.0,0.369529,4.7e-05
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [41, 453, 45, 3], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [41, 1, 1, 3], ""is_host"": false}]","{""ksize"": [1, 453, 45, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""41,1,453,45,16""",FLOAT16,NC1HWC0,"""41,1,1,1,16""",FLOAT16,NC1HWC0,41,1564.181385,0.0,0.897715,0.063243,0.0,0.717226,0.001504
