Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179""",FLOAT16,FORMAT_ND,"""286,1179""",FLOAT16,FORMAT_ND,2,37.934559,0.0,0.18449,0.016747,0.0,0.823147,0.780989
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179""",FLOAT,FORMAT_ND,"""286,1179""",FLOAT,FORMAT_ND,2,57.749265,0.0,0.309146,0.015928,0.0,0.924662,0.759152
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179""",INT32,FORMAT_ND,"""286,1179""",INT32,FORMAT_ND,2,63.547059,0.0,0.212904,0.012659,0.0,0.914838,0.775363
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208""",FLOAT16,FORMAT_ND,"""1479,526,208""",FLOAT16,FORMAT_ND,2,13728.570588,0.0,0.244509,0.008988,0.0,0.999302,0.897606
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208""",FLOAT,FORMAT_ND,"""1479,526,208""",FLOAT,FORMAT_ND,2,27446.077206,0.0,0.308407,0.00984,0.0,0.999807,0.900147
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208""",INT32,FORMAT_ND,"""1479,526,208""",INT32,FORMAT_ND,2,27517.217647,0.0,0.235391,0.007683,0.0,0.999761,0.899513
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888""",FLOAT16,FORMAT_ND,"""44,888""",FLOAT16,FORMAT_ND,2,8.0375,0.0,0.110877,0.01848,0.0,0.474979,0.284969
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888""",FLOAT,FORMAT_ND,"""44,888""",FLOAT,FORMAT_ND,2,10.700735,0.0,0.209854,0.015873,0.0,0.54408,0.469319
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888""",INT32,FORMAT_ND,"""44,888""",INT32,FORMAT_ND,2,8.981618,0.0,0.183709,0.018584,0.0,0.676873,0.378878
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [434, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [434, 708], ""is_host"": false}]",{},"""434,708""",FLOAT16,FORMAT_ND,"""434,708""",FLOAT16,FORMAT_ND,2,31.298529,0.0,0.207208,0.020509,0.0,0.859512,0.591763
