Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [532], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 8}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [8], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [8], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""532;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""8;8""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,7.686765,0.0,0.541611,0.065812,0.0,0.25177,0.035776
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [496, 489, 183], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 126}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [496, 489, 126], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [496, 489, 126], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""496,489,183;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""496,489,126;496,489,126""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,175279.671324,0.0,0.78335,0.240049,0.0,0.031826,0.230325
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [505, 932, 136], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 73}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [505, 932, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [505, 932, 73], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""505,932,136;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""505,932,73;505,932,73""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,292047.469118,0.0,0.733941,0.271253,0.0,0.033068,0.239809
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [968, 287, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 169}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [968, 287, 169], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [968, 287, 169], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""968,287,208;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""968,287,169;968,287,169""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,205341.833824,0.0,0.8601,0.149807,0.0,0.026121,0.247389
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1981, 1133], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 105}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1981, 105], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1981, 105], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1981,1133;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1981,105;1981,105""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,10286.231618,0.0,0.963818,0.05074,0.0,0.02449,0.038148
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 1650, 941], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 30}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 1650, 30], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [32, 1650, 30], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""32,1650,941;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""32,1650,30;32,1650,30""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,191934.740441,0.0,0.955605,0.063515,0.0,0.027896,0.050326
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1255], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 1109}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1109], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1109], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1255;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1109;1109""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,14.117647,0.0,0.791146,0.039792,0.0,0.127292,0.050833
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1497, 668], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 270}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1497, 270], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1497, 270], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1497,668;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1497,270;1497,270""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,3990.572059,0.0,0.934754,0.075785,0.0,0.027937,0.083257
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [14, 122, 12, 123, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 16}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [14, 122, 12, 123, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [14, 122, 12, 123, 16], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""14,122,12,123,16;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""14,122,12,123,16;14,122,12,123,16""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,171344.016912,0.0,0.553448,0.662039,0.0,0.12843,0.229914
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1256], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 705}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [705], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [705], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1256;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""705;705""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,13.701471,0.0,0.815069,0.039712,0.0,0.12064,0.03939
