Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179""",INT32,FORMAT_ND,"""286,1179""",INT32,FORMAT_ND,2,30.644853,0.0,0.011325,0.015284,0.0,0.913933,0.90292
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179""",FLOAT16,FORMAT_ND,"""286,1179""",FLOAT16,FORMAT_ND,2,16.650735,0.0,0.019695,0.037889,0.0,0.686642,0.889998
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179""",INT8,FORMAT_ND,"""286,1179""",INT8,FORMAT_ND,2,13.200735,0.0,0.19785,0.081101,0.0,0.337214,0.763215
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179""",UINT8,FORMAT_ND,"""286,1179""",UINT8,FORMAT_ND,2,13.697794,0.0,0.19067,0.078158,0.0,0.256804,0.774438
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208""",INT32,FORMAT_ND,"""1479,526,208""",INT32,FORMAT_ND,2,13333.293382,0.0,3.6e-05,0.011935,0.0,0.99627,0.997304
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208""",FLOAT16,FORMAT_ND,"""1479,526,208""",FLOAT16,FORMAT_ND,2,6567.0875,0.0,6.6e-05,0.013071,0.0,0.94403,0.999683
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208""",INT8,FORMAT_ND,"""1479,526,208""",INT8,FORMAT_ND,2,4642.470588,0.0,0.213292,0.016367,0.0,0.225863,0.780813
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208""",UINT8,FORMAT_ND,"""1479,526,208""",UINT8,FORMAT_ND,2,4622.626471,0.0,0.214207,0.016437,0.0,0.30716,0.779872
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888""",INT32,FORMAT_ND,"""44,888""",INT32,FORMAT_ND,2,7.057353,0.0,0.036674,0.021567,0.0,0.231194,0.741404
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888""",FLOAT16,FORMAT_ND,"""44,888""",FLOAT16,FORMAT_ND,2,3.809559,0.0,0.067555,0.040147,0.0,0.30747,0.713569
