Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1554, 1825], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1554, 1825], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1554,1825;1554,1825""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,57666.291176,0.0,0.914672,0.356647,0.0,0.013813,5e-06
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [84, 532], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [84, 532], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [84, 532], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [84, 532], ""is_host"": false}]","{""reduction"": ""none""}","""84,532;84,532;84,532""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""84,532""",FLOAT,FORMAT_ND,2,381.0625,0.0,0.902083,0.375168,0.0,0.047738,0.015454
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [831, 1882], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [831, 1882], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""831,1882;831,1882""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,32264.739706,0.0,0.915363,0.359375,0.0,0.013859,1e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1984, 978], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1984, 978], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1984, 978], ""is_host"": false}]","{""reduction"": ""none""}","""1984,978;1984,978""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1984,978""",FLOAT,FORMAT_ND,2,15518.916176,0.0,0.920871,0.431354,0.0,0.027552,0.01109
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1196, 1828], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1196, 1828], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1196, 1828], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1196,1828;1196,1828;1196,1828""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,46030.154412,0.0,0.912526,0.350823,0.0,0.022947,7e-06
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1035], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1035], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1035;1035""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,32.307353,0.0,0.81838,0.112204,0.0,0.053166,0.009559
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [579], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [579], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""579;579""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,24.405882,0.0,0.811521,0.093577,0.0,0.03061,0.012714
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1549], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1549], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1549], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1549], ""is_host"": false}]","{""reduction"": ""none""}","""1549;1549;1549""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1549""",FLOAT,FORMAT_ND,2,28.806618,0.0,0.794497,0.11762,0.0,0.070398,0.013937
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1268], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1268], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1268;1268""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,34.069118,0.0,0.843441,0.114862,0.0,0.027194,0.003194
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [2023, 1865], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [2023, 1865], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [2023, 1865], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [2023, 1865], ""is_host"": false}]","{""reduction"": ""none""}","""2023,1865;2023,1865;2023,1865""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""2023,1865""",FLOAT,FORMAT_ND,2,30293.252941,0.0,0.923256,0.431696,0.0,0.029692,0.010524
